Married,Dependents,Education,Self_Employed,ApplicantIncome,Credit_History,Cibil_Score,Loan_Status
No,0,Graduate,Yes,11000,1,473,N
Yes,1,Not Graduate,No,2600,1,625,Y
No,2,Graduate,No,4923,0,340,Y
Yes,3+,Not Graduate,No,3992,1,678,N
Yes,1,Not Graduate,No,3500,1,320,Y
Yes,2,Not Graduate,No,3917,1,842,Y
No,0,Not Graduate,No,4408,1,402,Y
No,0,Graduate,No,3244,1,685,Y
No,0,Not Graduate,No,3975,1,603,Y
No,0,Graduate,No,2479,1,704,Y
No,0,Graduate,No,3418,1,621,N
No,0,Graduate,No,10000,1,479,N
Yes,3+,Graduate,No,3430,0,552,N
Yes,1,Graduate,Yes,7787,1,647,Y
Yes,3+,Not Graduate,Yes,5703,1,305,Y
Yes,0,Graduate,No,3173,1,865,Y
Yes,3+,Not Graduate,No,3850,1,891,Y
Yes,0,Graduate,No,150,1,341,N
Yes,0,Graduate,No,3727,1,825,Y
Yes,2,Graduate,,5000,0,569,N
Yes,2,Graduate,No,4283,,422,Y
Yes,0,Graduate,No,2221,0,536,N
Yes,2,Graduate,No,4009,1,437,Y
No,0,Graduate,No,2971,1,430,Y
Yes,0,Graduate,No,7578,1,782,Y
Yes,0,Graduate,No,6250,1,780,Y
Yes,0,Graduate,No,3250,1,858,N
Yes,,Not Graduate,Yes,4735,1,879,N
Yes,2,Graduate,No,6250,1,817,Y
,,Graduate,No,4758,1,507,Y
No,0,Graduate,Yes,6400,1,424,Y
Yes,1,Graduate,No,2491,1,629,Y
Yes,0,Graduate,,3716,1,641,Y
No,0,Not Graduate,No,3189,1,412,Y
No,0,Graduate,No,8333,1,350,Y
Yes,1,Graduate,No,3155,1,302,Y
Yes,1,Graduate,No,5500,1,841,Y
Yes,0,Graduate,,5746,,783,N
No,0,Graduate,Yes,3463,,816,Y
No,1,Graduate,No,3812,1,608,Y
Yes,1,Graduate,No,3315,1,875,Y
Yes,2,Graduate,No,5819,1,480,Y
Yes,1,Not Graduate,No,2510,1,407,N
No,0,Graduate,No,2965,1,545,Y
Yes,2,Graduate,Yes,6250,1,612,Y
Yes,0,Not Graduate,No,3406,1,692,Y
No,0,Graduate,Yes,6050,1,575,N
Yes,2,Graduate,No,9703,1,595,Y
Yes,1,Not Graduate,No,6608,1,658,Y
Yes,1,Graduate,No,2882,1,387,Y
Yes,0,Graduate,No,1809,1,793,Y
Yes,0,Not Graduate,No,1668,0,493,N
No,2,Graduate,No,3427,1,882,N
No,0,Not Graduate,Yes,2583,1,341,Y
Yes,1,Not Graduate,No,2661,1,578,Y
No,0,Graduate,Yes,16250,0,576,N
No,3+,Graduate,No,3083,1,501,Y
No,0,Not Graduate,No,6045,0,839,N
Yes,3+,Graduate,No,5250,1,342,N
Yes,0,Graduate,No,14683,1,837,N
Yes,3+,Not Graduate,No,4931,,726,N
Yes,1,Graduate,No,6083,,313,Y
No,0,Graduate,No,2060,1,536,Y
No,1,Graduate,No,3481,1,830,N
No,0,Graduate,No,7200,1,448,Y
No,0,Graduate,Yes,5166,1,555,Y
No,0,Graduate,No,4095,1,534,Y
Yes,2,Graduate,No,4708,1,439,Y
Yes,3+,Graduate,No,4333,0,815,Y
No,0,Graduate,,3418,1,754,N
No,1,Graduate,No,2876,1,418,Y
No,0,Graduate,No,3237,1,718,Y
Yes,0,Graduate,No,11146,1,764,Y
No,0,Graduate,No,2833,1,862,Y
Yes,0,Graduate,No,2620,1,387,Y
Yes,2,Graduate,No,3900,1,667,Y
Yes,1,Graduate,No,2750,1,728,Y
Yes,0,Graduate,No,3993,1,659,Y
Yes,0,Graduate,No,3103,1,424,Y
Yes,0,Graduate,No,14583,1,516,Y
Yes,0,Not Graduate,No,4100,,501,Y
No,1,Not Graduate,Yes,4053,0,442,N
Yes,0,Graduate,No,3927,1,773,Y
Yes,2,Graduate,No,2301,1,661,Y
No,0,Graduate,No,1811,1,371,Y
Yes,0,Graduate,No,20667,1,872,N
No,0,Graduate,No,3158,1,623,Y
No,0,Graduate,Yes,2600,1,351,N
Yes,0,Graduate,No,3704,1,863,Y
No,0,Graduate,No,4124,1,861,Y
No,0,Graduate,No,9508,1,722,Y
Yes,0,Graduate,No,3075,1,469,Y
Yes,2,Graduate,No,4400,0,356,N
Yes,2,Graduate,No,3153,1,766,Y
No,,Graduate,No,5417,0,584,N
Yes,0,Graduate,No,2383,1,719,Y
Yes,3+,Graduate,,4416,1,827,Y
Yes,1,Graduate,No,6875,1,465,Y
Yes,1,Graduate,No,4666,1,384,Y
No,0,Graduate,No,5000,1,788,N
Yes,1,Graduate,No,2014,1,679,N
Yes,0,Not Graduate,No,1800,0,404,N
Yes,,Not Graduate,No,2875,1,694,Y
No,0,Graduate,No,5000,1,708,Y
Yes,1,Graduate,No,1625,1,568,Y
No,0,Graduate,No,4000,1,813,Y
No,0,Not Graduate,No,2000,1,544,N
No,0,Graduate,No,3762,1,320,Y
No,0,Graduate,No,2400,0,633,N
No,0,Graduate,No,20233,1,656,N
Yes,2,Not Graduate,No,7667,,300,Y
No,0,Graduate,No,2917,1,311,Y
No,0,Not Graduate,No,2927,1,535,Y
No,0,Graduate,No,2507,1,801,Y
Yes,2,Graduate,Yes,5746,,575,Y
Yes,0,Graduate,No,2473,1,448,N
Yes,1,Not Graduate,No,3399,1,617,Y
Yes,2,Graduate,No,3717,1,531,Y
Yes,0,Graduate,No,2058,,818,Y
No,1,Graduate,No,3541,,853,Y
Yes,1,Graduate,Yes,10000,1,497,N
Yes,0,Graduate,No,2400,1,899,Y
Yes,3+,Graduate,No,4342,1,618,Y
Yes,2,Not Graduate,No,3601,1,823,Y
No,0,Graduate,No,3166,,320,Y
Yes,3+,Graduate,No,15000,1,554,Y
Yes,1,Graduate,Yes,8666,0,390,N
No,0,Graduate,No,4917,0,732,Y
Yes,0,Graduate,Yes,5818,1,666,Y
Yes,0,Graduate,No,4333,1,641,N
No,0,Graduate,No,2500,1,799,Y
No,1,Graduate,No,4384,1,880,Y
No,0,Graduate,No,2935,1,408,Y
No,,Graduate,No,2833,1,778,Y
Yes,0,Graduate,,63337,1,390,Y
Yes,1,Graduate,Yes,9833,1,328,Y
Yes,,Graduate,Yes,5503,1,512,Y
Yes,1,Graduate,,5250,1,798,Y
Yes,2,Graduate,Yes,2500,1,308,Y
No,3+,Not Graduate,No,1830,0,594,N
No,0,Graduate,No,4160,1,444,Y
Yes,3+,Not Graduate,No,2647,1,311,N
No,0,Graduate,No,2378,1,825,N
Yes,1,Not Graduate,No,4554,1,711,Y
Yes,3+,Not Graduate,No,3173,1,426,Y
Yes,2,Graduate,,2583,1,515,Y
Yes,0,Graduate,No,2499,1,660,Y
Yes,,Not Graduate,No,3523,0,361,N
Yes,2,Not Graduate,No,3083,1,696,Y
Yes,0,Graduate,No,6333,,872,Y
Yes,0,Graduate,No,2625,1,724,Y
Yes,0,Graduate,No,9083,1,371,Y
No,0,Graduate,No,8750,1,399,N
Yes,3+,Graduate,No,2666,1,604,Y
Yes,0,Graduate,Yes,5500,0,874,N
Yes,0,Graduate,No,2423,1,475,Y
No,,Graduate,No,3813,1,569,Y
Yes,2,Graduate,No,8333,1,371,Y
Yes,1,Graduate,No,3875,1,865,N
Yes,0,Not Graduate,No,3000,0,882,N
Yes,3+,Graduate,No,5167,1,749,Y
No,1,Graduate,No,4723,1,467,N
Yes,2,Graduate,No,5000,1,329,Y
Yes,0,Graduate,No,4750,1,521,Y
Yes,0,Graduate,No,3013,,579,Y
No,0,Graduate,Yes,6822,1,720,Y
No,0,Not Graduate,No,6216,1,595,N
No,0,Graduate,No,2500,1,550,N
No,0,Graduate,No,5124,0,744,N
Yes,1,Graduate,No,6325,1,365,Y
Yes,0,Graduate,No,19730,1,837,N
No,0,Graduate,Yes,15759,1,616,Y
Yes,2,Graduate,No,5185,1,313,Y
Yes,2,Graduate,Yes,9323,1,722,Y
No,1,Graduate,No,3062,0,751,N
No,0,Graduate,,2764,1,734,Y
Yes,0,Graduate,No,4817,1,392,Y
Yes,3+,Graduate,No,8750,1,892,Y
Yes,0,Graduate,No,4310,,448,Y
No,0,Graduate,No,3069,1,383,N
Yes,2,Graduate,No,5391,1,583,Y
Yes,0,Graduate,,3333,1,600,Y
No,0,Graduate,No,5941,1,695,Y
No,0,Graduate,No,6000,1,371,Y
No,0,Graduate,Yes,7167,1,339,Y
Yes,2,Graduate,No,4566,1,360,N
No,1,Graduate,,3667,1,429,Y
No,0,Not Graduate,No,2346,1,365,Y
Yes,0,Not Graduate,No,3010,0,497,N
Yes,0,Graduate,No,2333,1,900,Y
Yes,0,Graduate,No,5488,1,565,Y
No,3+,Graduate,No,9167,1,463,Y
Yes,3+,Graduate,No,9504,1,695,Y
Yes,0,Graduate,No,2583,,558,Y
Yes,2,Not Graduate,No,1993,1,633,Y
Yes,2,Graduate,No,3100,1,572,Y
Yes,2,Graduate,No,3276,,635,Y
No,0,Graduate,No,3180,0,561,N
Yes,0,Graduate,No,3033,1,594,Y
No,0,Not Graduate,No,3902,1,781,Y
No,0,Graduate,No,1500,0,558,N
Yes,2,Not Graduate,No,2889,0,692,N
No,0,Not Graduate,No,2755,1,448,N
No,0,Graduate,No,2500,1,837,Y
No,0,Not Graduate,No,1963,1,790,Y
No,0,Graduate,Yes,7441,1,584,N
No,0,Graduate,No,4547,1,816,Y
Yes,0,Not Graduate,No,2167,1,784,Y
No,0,Not Graduate,No,2213,1,754,Y
Yes,1,Graduate,No,8300,0,703,N
Yes,3+,Graduate,No,81000,0,773,N
No,1,Not Graduate,Yes,3867,1,378,N
Yes,0,Graduate,,6256,,583,Y
Yes,0,Not Graduate,No,6096,0,498,N
Yes,0,Not Graduate,No,2253,1,889,Y
Yes,0,Not Graduate,No,2149,0,420,N
No,0,Graduate,No,2995,1,663,Y
No,1,Graduate,No,2600,1,572,N
Yes,2,Graduate,Yes,1600,1,363,N
Yes,0,Graduate,No,1025,1,543,Y
Yes,0,Graduate,No,3246,1,322,Y
Yes,0,Graduate,No,5829,1,747,Y
No,0,Not Graduate,No,2720,0,600,N
Yes,0,Graduate,No,1820,1,364,Y
Yes,1,Graduate,No,7250,0,541,N
Yes,0,Graduate,No,14880,1,587,Y
Yes,0,Graduate,No,2666,1,852,Y
No,1,Not Graduate,No,4606,1,655,N
Yes,2,Graduate,No,5935,1,751,Y
Yes,0,Graduate,No,2920,1,861,Y
No,0,Not Graduate,No,2717,1,529,Y
No,1,Graduate,Yes,8624,1,490,Y
No,0,Graduate,No,6500,0,378,N
No,0,Graduate,,12876,1,593,Y
Yes,0,Graduate,No,2425,1,775,Y
No,0,Graduate,No,3750,1,357,Y
,,Graduate,No,10047,1,781,Y
No,0,Graduate,No,1926,1,809,Y
Yes,0,Graduate,No,2213,1,588,Y
No,0,Graduate,Yes,10416,0,559,N
Yes,0,Not Graduate,Yes,7142,1,456,Y
No,0,Graduate,No,3660,1,891,Y
Yes,0,Graduate,No,7901,1,658,Y
No,3+,Not Graduate,No,4707,1,763,Y
No,1,Graduate,No,37719,1,676,Y
Yes,0,Graduate,No,7333,,564,Y
Yes,1,Graduate,Yes,3466,1,578,Y
Yes,2,Not Graduate,No,4652,1,614,Y
Yes,0,Graduate,,3539,1,813,N
Yes,2,Graduate,No,3340,0,322,N
No,1,Not Graduate,Yes,2769,,869,N
Yes,2,Not Graduate,No,2309,0,667,N
Yes,2,Not Graduate,No,1958,,844,Y
Yes,0,Graduate,No,3948,0,856,N
Yes,0,Graduate,No,2483,0,571,Y
No,0,Graduate,Yes,7085,1,606,Y
Yes,2,Graduate,No,3859,1,744,Y
Yes,0,Graduate,No,4301,1,648,Y
Yes,0,Graduate,No,3708,1,881,N
No,2,Graduate,No,4354,1,370,Y
Yes,0,Graduate,No,8334,1,466,N
Yes,0,Graduate,Yes,2083,,821,Y
Yes,3+,Graduate,No,7740,1,381,Y
Yes,0,Graduate,No,3015,1,712,Y
No,1,Not Graduate,,5191,1,714,Y
No,0,Graduate,No,4166,0,701,N
No,0,Graduate,No,6000,1,444,Y
Yes,3+,Not Graduate,No,2947,0,785,N
Yes,0,Graduate,No,16692,1,656,Y
Yes,2,Not Graduate,,210,1,895,Y
Yes,0,Graduate,No,4333,1,828,N
Yes,1,Graduate,Yes,3450,1,387,Y
Yes,1,Not Graduate,No,2653,0,501,N
Yes,3+,Graduate,No,4691,1,843,Y
No,0,Graduate,Yes,2500,,883,Y
No,2,Graduate,No,5532,1,785,Y
Yes,2,Graduate,Yes,16525,1,598,Y
Yes,2,Graduate,No,6700,1,607,Y
Yes,2,Graduate,No,2873,0,749,N
Yes,1,Graduate,Yes,16667,1,820,Y
Yes,2,Graduate,No,2947,1,467,N
No,0,Not Graduate,No,4350,1,711,Y
Yes,3+,Not Graduate,No,3095,1,765,Y
Yes,0,Graduate,No,2083,1,421,Y
Yes,0,Graduate,No,10833,1,344,Y
Yes,2,Graduate,No,8333,1,866,Y
Yes,1,Not Graduate,No,1958,1,398,Y
No,2,Graduate,No,3547,0,426,N
Yes,1,Graduate,No,18333,1,348,N
Yes,2,Graduate,Yes,4583,1,478,Y
No,0,Graduate,No,2435,1,386,N
No,0,Not Graduate,No,2699,,852,Y
Yes,1,Not Graduate,No,5333,,834,Y
No,0,Not Graduate,No,3691,1,597,Y
No,0,Not Graduate,Yes,17263,1,547,Y
Yes,0,Graduate,No,3597,0,674,N
Yes,1,Graduate,No,3326,1,526,Y
Yes,0,Not Graduate,No,2600,1,479,Y
Yes,0,Graduate,No,4625,,561,Y
Yes,1,Graduate,Yes,2895,1,335,Y
No,0,Graduate,No,6283,0,333,N
No,0,Graduate,No,645,1,541,Y
No,0,Graduate,No,3159,1,894,Y
Yes,2,Graduate,No,4865,1,724,Y
Yes,1,Not Graduate,No,4050,,860,N
Yes,0,Not Graduate,No,3814,1,694,Y
Yes,2,Graduate,No,3510,1,309,Y
Yes,0,Graduate,No,20833,,332,Y
No,0,Graduate,No,3583,1,802,N
Yes,0,Graduate,Yes,2479,1,575,Y
No,1,Graduate,No,13262,1,686,Y
No,0,Not Graduate,No,3598,1,549,N
Yes,1,Graduate,No,6065,1,605,Y
Yes,2,Graduate,No,3283,1,861,Y
Yes,0,Graduate,No,2130,1,646,N
No,0,Graduate,No,5815,1,431,N
Yes,3+,Graduate,No,3466,1,746,Y
Yes,2,Graduate,No,2031,1,771,Y
Yes,,Not Graduate,No,3074,0,545,N
No,0,Graduate,No,4683,1,521,N
No,0,Not Graduate,No,3400,1,321,N
Yes,2,Not Graduate,No,2192,1,601,Y
No,0,Graduate,No,2500,1,726,Y
Yes,3+,Graduate,Yes,5677,1,734,Y
Yes,2,Graduate,Yes,7948,1,306,Y
No,0,Graduate,No,4680,1,530,N
Yes,2,Graduate,Yes,17500,1,588,Y
Yes,0,Graduate,No,3775,1,569,Y
Yes,1,Not Graduate,No,5285,0,792,Y
No,1,Not Graduate,No,2679,1,333,Y
No,0,Not Graduate,No,6783,1,710,Y
Yes,0,Graduate,No,1025,,609,Y
Yes,3+,Graduate,No,4281,1,896,Y
No,2,Graduate,No,3588,0,704,N
No,1,Graduate,No,11250,,775,N
No,0,Not Graduate,Yes,18165,1,700,Y
No,0,Not Graduate,,2550,1,801,Y
Yes,0,Graduate,No,6133,1,513,Y
No,2,Graduate,No,3617,1,728,Y
Yes,0,Not Graduate,No,2917,1,331,N
Yes,3+,Graduate,No,6417,1,391,Y
Yes,1,Graduate,No,4608,1,825,Y
No,0,Graduate,No,2138,0,888,N
No,1,Graduate,,3652,1,696,Y
Yes,1,Not Graduate,No,2239,1,714,Y
Yes,0,Not Graduate,No,3017,,363,Y
Yes,0,Graduate,No,2768,1,900,Y
No,0,Not Graduate,No,3358,1,415,N
No,0,Graduate,No,2526,1,751,Y
No,0,Graduate,No,5000,0,667,N
Yes,0,Graduate,No,2785,1,777,Y
Yes,2,Graduate,Yes,6633,0,821,N
Yes,1,Not Graduate,No,2492,1,631,Y
Yes,1,Graduate,No,3333,1,863,Y
Yes,0,Not Graduate,No,2454,0,452,N
Yes,0,Graduate,No,3593,0,316,N
Yes,1,Graduate,No,5468,1,379,Y
No,0,Graduate,No,2667,,358,Y
Yes,3+,Graduate,Yes,10139,1,725,Y
Yes,0,Graduate,No,3887,1,615,Y
Yes,0,Graduate,No,4180,1,381,Y
Yes,2,Not Graduate,No,3675,1,809,Y
Yes,1,Graduate,Yes,19484,1,404,Y
Yes,0,Graduate,No,5923,1,359,Y
No,0,Not Graduate,Yes,5800,1,345,Y
Yes,2,Graduate,No,8799,0,334,N
Yes,0,Not Graduate,No,4467,,532,Y
No,0,Graduate,No,3333,1,581,Y
Yes,3+,Graduate,No,3400,0,402,N
No,0,Graduate,No,2378,1,713,N
Yes,0,Graduate,No,3166,0,459,N
Yes,1,Graduate,No,3417,1,467,Y
Yes,,Graduate,No,5116,0,743,N
Yes,2,Graduate,No,16666,1,838,Y
Yes,2,Not Graduate,No,6125,1,591,N
Yes,3+,Graduate,No,6406,1,690,N
Yes,2,Graduate,No,3159,1,314,Y
Yes,0,Graduate,No,3087,0,825,N
No,0,Graduate,No,3229,1,318,Y
Yes,1,Graduate,No,1782,1,789,Y
No,0,Graduate,,3182,1,812,Y
Yes,2,Graduate,No,6540,1,554,Y
No,0,Graduate,No,1836,1,453,N
Yes,0,Graduate,No,3166,1,590,Y
Yes,1,Graduate,No,1880,,793,N
Yes,1,Graduate,No,2787,0,859,N
Yes,1,Graduate,No,4283,1,507,N
Yes,0,Graduate,No,2297,1,529,Y
No,0,Not Graduate,No,2165,1,818,Y
No,0,Graduate,No,4750,1,731,Y
Yes,2,Graduate,Yes,2726,0,532,N
Yes,0,Graduate,No,3000,1,693,Y
Yes,2,Graduate,Yes,6000,1,349,N
No,3+,Graduate,Yes,9357,1,851,Y
Yes,0,Graduate,No,3859,1,417,Y
Yes,0,Graduate,Yes,16120,1,849,Y
No,0,Not Graduate,No,3833,1,309,Y
Yes,2,Not Graduate,Yes,6383,1,350,N
No,,Graduate,No,2987,0,822,N
Yes,0,Graduate,Yes,9963,1,492,Y
Yes,2,Graduate,No,5780,1,336,Y
No,3+,Graduate,,416,,477,N
Yes,0,Not Graduate,,2894,1,509,Y
Yes,3+,Graduate,No,5703,1,811,Y
No,0,Graduate,No,3676,1,676,Y
Yes,1,Graduate,No,12000,1,752,Y
Yes,0,Not Graduate,No,2400,1,730,N
Yes,1,Graduate,No,3400,1,900,Y
Yes,2,Not Graduate,No,3987,1,787,Y
Yes,0,Graduate,No,3232,1,711,Y
No,0,Graduate,No,2900,1,385,Y
Yes,3+,Graduate,No,4106,1,730,Y
Yes,1,Graduate,No,8072,1,628,Y
Yes,2,Graduate,No,7583,1,730,Y
No,0,Graduate,Yes,4583,0,779,N

